도시명,시군구,학교명,학교 학생 수,최종 동질성 지수(H_m),소비 획일성 지수,소비 1위 업종,소비 2위 업종,소비 3위 업종,사회 문화 획일성 지수,진로 획일성 지수,진로 노출 획일성 지수,학구 순전입률
대구광역시,동구,대구효목초등학교,380,0.9996212093,0.4321,,,,0.946836,1,0.3499,-2.105263158
대구광역시,달서구,대구노전초등학교,379,1.010563016,0.4321,,,,0.959653,1,0.3515,-3.430079156
대구광역시,달서구,대구대곡초등학교,374,1.027840158,0.4321,,,,0.971943,1,0.3515,-2.673796791
대구광역시,달서구,새본리중학교,370,0.9404272773,0.4321,,,,0.961113,0.426736,0.3515,0.4379562044
대구광역시,달서구,대서중학교,369,0.9065593177,0.4321,,,,0.959272,0.317091,0.3515,-0.4607307404
대구광역시,북구,대구국우초등학교,367,1.027292909,0.4321,,,,0.955186,1,0.3493,0
대구광역시,달서구,대구성산초등학교,366,1.025422815,0.4321,,,,0.950046,1,0.3515,-5.191256831
대구광역시,북구,북대구초등학교,365,1.023930641,0.4321,,,,0.945974,1,0.3493,-2.465753425
대구광역시,북구,대구서변초등학교,363,1.031191028,0.4321,,,,0.951353,1,0.3493,-4.132231405
대구광역시,남구,대구효명초등학교,362,1.045529472,0.5969,보건업,"섬유, 의복, 신발 및 가죽제품 소매업",제조업 및 기타,0.938223,1,0.3552,-1.38121547
대구광역시,달서구,상서중학교,362,0.9426530833,0.4321,,,,0.971884,0.236568,0.3515,0.4379562044
대구광역시,달서구,대구학산초등학교,361,1.080050007,0.4321,,,,0.944178,1,0.3515,1.939058172
대구광역시,동구,대구동호초등학교,360,1.032298497,0.4321,,,,0.945959,1,0.3499,-7.222222222
대구광역시,달성군,달서중학교,36,1.402038223,0.4321,,,,0.891157,0.697826,0.3487,-2.777777778
대구광역시,수성구,지산중학교,359,0.9385112001,0.4693,기타 개인 서비스업,"미용, 욕탕 및 유사 서비스업",기타 전문 서비스업,0.970386,0.367938,0.3313,-0.21595357
대구광역시,달서구,월배중학교,357,0.9120046789,0.4321,,,,0.956919,0.172719,0.3515,-0.4607307404
대구광역시,수성구,대구중앙중학교,353,0.9644192848,0.4693,기타 개인 서비스업,"미용, 욕탕 및 유사 서비스업",기타 전문 서비스업,0.977783,0.458407,0.3313,-0.21595357
대구광역시,남구,경상중학교,352,0.9537060796,0.5969,보건업,"섬유, 의복, 신발 및 가죽제품 소매업",제조업 및 기타,0.898346,0.320589,0.3552,1.19760479
대구광역시,북구,대구매천초등학교,351,1.053611493,0.4321,,,,0.954523,1,0.3493,-2.849002849
대구광역시,달서구,대구죽전초등학교,349,1.18425879,0.4321,,,,0.954623,1,0.3515,12.89398281
대구광역시,북구,대구스마트고등학교,348,1.000547944,0.4321,,,,0.969718,0.693446,0.3493,0
대구광역시,수성구,덕화중학교,345,0.9288358684,0.4693,기타 개인 서비스업,"미용, 욕탕 및 유사 서비스업",기타 전문 서비스업,0.950686,0.202186,0.3313,-0.21595357
대구광역시,수성구,대구파동초등학교,343,1.159363858,0.4693,기타 개인 서비스업,"미용, 욕탕 및 유사 서비스업",기타 전문 서비스업,0.964122,1,0.3313,4.664723032
대구광역시,북구,칠곡중학교,341,0.9440711476,0.4321,,,,0.957988,0.28732,0.3493,-0.8176918788
대구광역시,달서구,대구성지초등학교,340,1.079389834,0.4321,,,,0.963922,1,0.3515,-4.117647059
대구광역시,달서구,대구덕인초등학교,335,1.233266439,0.4321,,,,0.947855,1,0.3515,21.79104478
대구광역시,북구,대구함지초등학교,334,1.006153632,0.4321,,,,0.965726,0.622957,0.3493,0
대구광역시,달서구,대구이곡초등학교,333,1.097211416,0.4321,,,,0.971724,1,0.3515,-3.003003003
대구광역시,북구,대구성북초등학교,332,1.08322635,0.4321,,,,0.951646,1,0.3493,-3.915662651
